bins,mesh_proxy,construct_max_n,construct_step,n_construct_pts,mandelbrot_grid,mandelbrot_samples,n_mandel_pts,alpha,sigma_bins,mode,T_n,kl_initial,delta_n,kl_PM_PC,pinsker_tv_bound_XT_PM,tv_XT_PM,tv_PC_PM,overlap_mass_PC_PM,mass_outside_domain_C,mass_outside_domain_M,tv_bound_PC_PM,compound,compound_with_pinsker,stop_reason,runtime_sec
64,0.015625,300,20,2400,600,25000,2400,0.1,1.0,adaptive,87,0.1855062355894768,9.505834955179127e-07,0.1855062355894768,0.0006894140611845369,1.7581056798373743e-05,0.16824673915297364,0.8317532608470264,0.0,0.0,6.597536715257154,9.330325900971106,6.597536715257154,kl_threshold_met,3.9055447578430176
128,0.0078125,400,20,4200,690,33750,4200,0.1,1.0,adaptive,103,0.6691289566403648,9.273760819365837e-07,0.6691289566403648,0.0006809464303220128,5.6795178792203325e-06,0.2933141393107075,0.7066858606892923,0.0,0.0,35.16693148469992,49.733551452708035,35.16693148469992,kl_threshold_met,8.308037281036377
256,0.00390625,540,20,7560,793,45562,7560,0.1,1.0,adaptive,106,1.2333323620048053,9.787484080662167e-07,1.2333323620048053,0.0006995528600707085,5.558212759274523e-06,0.3937577967335193,0.6062422032664805,0.0,0.0,49.55808724982408,70.08571911397037,49.55808724982408,kl_threshold_met,18.66592836380005
512,0.001953125,720,20,13320,912,61509,13320,0.1,1.0,adaptive,109,2.214599785411249,9.553987582113363e-07,2.214599785411249,0.000691157998655639,5.836738127496575e-06,0.5672005975475329,0.43279940245246695,0.0,0.0,67.1651222426603,94.98582679401703,67.1651222426603,kl_threshold_met,42.251768350601196
