bins,mesh_proxy,construct_max_n,construct_step,n_construct_pts,mandelbrot_grid,mandelbrot_samples,n_mandel_pts,alpha,sigma_bins,mode,T_n,kl_initial,delta_n,kl_PM_PC,pinsker_tv_bound_XT_PM,tv_XT_PM,tv_PC_PM,overlap_mass_PC_PM,mass_outside_domain_C,mass_outside_domain_M,tv_bound_PC_PM,compound,compound_with_pinsker,stop_reason,runtime_sec
64,0.015625,300,20,2400,600,25000,2400,0.1,3.0,fixedT=25,25,0.013034561401508741,7.938638017008213e-05,0.013034561401508741,0.006300253176265305,0.002960582584198262,0.04123959998435128,0.9587604000156487,0.0,0.0,0.08775972748609506,0.12411099684100252,0.08775972748609506,fixed_T,4.454826354980469
128,0.0078125,480,20,6000,690,40000,6000,0.1,3.0,fixedT=25,25,0.05730819860965652,0.0010868700263531304,0.05730819860965652,0.023311692627875934,0.005181604180276965,0.07217744399781065,0.9278225560021893,0.0,0.0,0.32472152071113103,0.45922557858409735,0.32472152071113103,fixed_T,12.52080225944519
256,0.00390625,760,20,14820,793,64000,14820,0.1,3.0,fixedT=25,25,0.13144131422543376,0.0033760419058186057,0.13144131422543376,0.041085532160473504,0.0070093954302609665,0.09763776400595878,0.9023622359940413,0.0,0.0,0.5723032083230863,0.8093589590001435,0.5723032083230863,fixed_T,51.93319749832153
512,0.001953125,1220,20,37820,912,102400,37820,0.1,3.0,fixedT=25,25,0.2772665078180934,0.004722363928632227,0.2772665078180934,0.04859199485837264,0.008930714675823629,0.12440088743718586,0.8755991125628144,0.0,0.0,0.6768648985157767,0.9572315193752999,0.6768648985157767,fixed_T,218.22473239898682
